name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fibonacci,gpp,1,45,360,0.000,1732,-10,1% 100% 1% 1% 2% 1% 2% 1%,3.550
fibonacci,java,1,45,322,4.986,34864,0,99% 1% 1% 1% 1% 1% 1% 1%,4.962
fibonacci,rs,1,45,451,0.000,1080,-10,1% 1% 0% 1% 0% 1% 100% 1%,5.738
